County,description,Symptoms_mental_illness,Unarmed_Armed,Alleged_Threat_Level,Fleeing,Body_Camera,Geography
Plymouth,Buckley was allegedly drinking and acting suicidal when his wife called police for help. The 45-year-old was fatally shot by responding officers after pointing a BB gun at officers.,Yes,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,No,Suburban
Josephine,"Police discovered a deceased woman's body in Landon's home in northern California, and fatally shot the 32-year-old after pursuing him over the Oregon border and after he collided with another vehicle.",No,Allegedly Armed,attack,Car,No,Rural
Lewis,"William Dale Jeffries died July 16, some 15 days after suffering a neck injury in a scuffle with officer Eric Riddle. Police were called to a disturbance involving Jeffries, who was believed to be drunk and reportedly urinating in public near a business. Riddle approached Jeffries and asked him to take a breathalyzer. Jeffries reportedly refused, leaned against the police cruiser, and resisted attempts by Riddle to subdue him. Jeffries hit his head on the cruiser, which was apparently when his neck snapped. Riddle was cleared.",Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,,,,Rural
Yamhill,"A deputy fatally shot Judson after struggling with the 24-year-old after a traffic stop, and firing the fatal shots after Judson tried to drive off in the deputy's patrol car.",No,Vehicle,attack,Foot,No,Suburban
Macon,"Officers serving a felony arrest warrant confronted Lickteig in the driveway of his home, where the 52-year-old struggled with officers and fired at them before officers fatally shot him.",No,Allegedly Armed,attack,Not fleeing,No,Rural
Fulton,"In what police described as ""suicide by cop,"" LaPort fired at officers responding to a possible suicide call and was fatally struck by troopers and deputies returning fire.",Yes,Allegedly Armed,attack,Not fleeing,No,Rural
Multnomah,"Police responding to reports of a fight near a supermarket stopped and questioned Bellew in his car, along with two other passengers. Officers fatally shot the 29-year-old after he pulled a starter gun out of the car and pointed it at officers.",Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,No,Suburban
Cherokee,"Crittenden and another man were shooting at each other when police arrived, leading the 35-year-old to seek refuge in an attic. An officer Crittenden after he emerged and pointed a gun at responding officers.",No,Allegedly Armed,attack,Not fleeing,Yes,Rural
Bexar,"Officers pulled Cisneros on a routine traffic stop, and pursued the 28-year-old as he ran from his vehicle. An undercover officer shot Cisneros after he dropped a firearm while climbing a fence and attempted to pick it up.",No,Allegedly Armed,other,Foot,No,Suburban
Franklin,"Matt and fellow prisoner David Sweat escaped from an upstate New York prison and led police on a month-long manhunt that ended when a Border Patrol agent shot the 49-year-old, who was armed with a stolen shotgun.",No,Allegedly Armed,attack,Other,No,Rural
Fresno,"After a wanted fugitive entered Vanderburgh's house, deputies fatally shot the 61-year-old after he refused to let police in and pointed a rifle out of the window. Authorities were unable to find the fugitive directly after the shooting.",No,Allegedly Armed,attack,Not fleeing,No,Rural
Baltimore,Police responding to a domestic call early Thursday entered a condominium after hearing arguing inside and fatally shot McCain after he produced what officers believed was a gun. McCain was later found to be unarmed and died at a nearby hospital.,Yes,Unarmed/Did Not Have an Actual Weapon,other,Not fleeing,No,Suburban
York,"Deputies reported that they were investigating a traffic accident involving Harrell. Fifteen minutes into the interaction, he allegedly pulled a gun out, and was shot to death by a deputy. Harrell was wanted in a neighboring county, and deputies reported that he was giving them false names so as not to identify himself.",Unknown,Allegedly Armed,attack,Not fleeing,Yes,Suburban
Reno,Officers reported that they attempted to calm Wilson but he threw a knife and other objects at them before they shot him to death. He was said to have confessed to a previous murder and holding children hostage by a neighbor.,Unknown,Allegedly Armed,attack,Not fleeing,No,Suburban
Douglas,"Deputy Chad Miller ordered Culbertson out of his vehicle after Miller was told by a store clerk that Culbertson seemed to be intoxicated, authorities said. Culbertson pulled a gun, which went off as he and Miller struggled, they said. Deputy Wade Grim, who had arrived to back up Miller, then shot and killed Culbertson. Neither deputy was injured.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Parker,"Witnesses called police when they saw Waddel acting strangely and after he had fallen down. Paramedics came to help Waddel, but he pulled a knife on them. He then walked inside of a business and had a confrontation with a man inside, at which point an officer shot him to death, and kicked the knife away. Waddel suffered from schizophrenia.",Yes,Allegedly Armed,other,Foot,No,Suburban
Marion,"Officers approached a car in a parking lot driven by another man, with Dyer in the vehicle. Officers reported that the driver tried to back up quickly once officers brought the men to a stop in their car. Then, officers fired into the car, killing Dyer.",Unknown,Unarmed/Did Not Have an Actual Weapon,other,Car,No,Urban
Allegheny,"Officers said that Harris had fired shots in various parts of the city for about 30 minutes, before he was stuck in traffic in a stolen car and opened fire on police who were following him. They shot him to death in the subsequent shootout. Harris had past problems with drug use.",Unknown,Allegedly Armed,attack,Car,No,Urban
Richmond,"Deputies reported that they responded to a call about a man holding a gun, and when they ordered him several times to put the gun down, he refused and threatened to kill the deputies, and they shot him to death. He had been ordered in the past to attend drug counseling.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Sacramento,"Officers reported that they were responding to a domestic dispute, at which point Reyes allegedly fired at them from. Officers shot him to death. Reyes' wife was treated for having been allegedly beaten with Reyes' pistol.",Unknown,Allegedly Armed,attack,Not fleeing,No,Suburban
Yadkin,Deputies exchanged gunfire with Barrett after responding to a domestic disturbance that led the 60-year-old to light a nearby house on fire. Barrett injured three people including a deputy before police fatally shot him.,No,Allegedly Armed,attack,Foot,No,Rural
Los Angeles,"Police responding to calls that Simental was acting bizarrely fatally shot the 24-year-old after he broke into a neighbor's house and, according to witnesses, verbally challenged police and told them to ""shoot me.""",Yes,Unarmed/Did Not Have an Actual Weapon,other,Not fleeing,No,Suburban
Harris,Deputies responding to a 911 call from Marshall's wife found the 49-year-old man intoxicated and was fatally shot after attempting to attack responding deputies with a power drill.,Yes,Unclear,other,Not fleeing,No,Suburban
Tuscaloosa,"Crawford, 21, led Leeds police and Jefferson County sheriff's deputies on a pursuit that ended when he rammed a deputy's vehicle on Interstate 20/59 in Tuscaloosa County, according to a release from the Jefferson County Sheriff's Office. He was tasered, but it's uncertain exactly what killed him.",No,Allegedly Armed,,,,Rural
Cook,"Officers began pursuing Cockerham on foot after responding to a call of a person with a gun. An officer fatally fired at the 23-year-old after he allegedly pointed a gun at the officer, but witnesses disputed the official police account.",No,Allegedly Armed,attack,Foot,No,Urban
East Baton Rouge,"Police responding to calls of two men fighting tased Bajoie after the 31-year-old tried to attack officers. Bajoie later died at a nearby hospital, and a coroner report showed that he had multiple illicit drugs in his system.",Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,,,,Suburban
Hamilton,"Hummons, who had earlier been charged with a sex crime, called 911 on himself and fatally shot the first responding officer before more officers arrived and fatally shot the 21-year-old.",Yes,Allegedly Armed,attack,Not fleeing,No,Urban
Suffolk,"Police pursued Laboy after seeing the 44-year-old wielding a knife and discovering he was wanted on several warrants. Officers fatally fired at Laboy, who suffered from mental illness, after he made threatening motions at officers.",Yes,Allegedly Armed,other,Foot,No,Urban
Weld,"Police fatally shot Atencio after responding to reports of a bloody woman calling for help, and fired at the 50-year-old after he refused to lower his gun.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Kings,"After fighting with a store owner and 78-year-old woman, Tcherniak was fatally shot by a police officer after the 58-year-old slashed and injured the officer with a hunting knife.",Unknown,Allegedly Armed,attack,Foot,No,Urban
Chilton,"A man approached an Alabama state trooper who was stationed at a construction zone on Interstate 65. He told the trooper that his wife threatened to shoot him. The trooper tried to stop the woman's vehicle, but she refused to pull over. Several other law enforcement agencies joined in. Authorities say the woman brandished a firearm during the chase. Officers put out ""spike strips,"" and stopped her vehicle. After a brief standoff,troopers say the woman fired on officers, and officers returned fire. The woman was pronounced dead on the scene.",No,Allegedly Armed,attack,Car,No,Rural
Lea,"Police responding to a call of a suicidal man fatally shot Lanphier after the 48-year-old opened fire with officers inside the home. A stray bullet fatally struck a neighbor, and police said evidence indicated that the bullet was fired from Lanphier's firearm.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Tulare,Officers responding to a trespassing and vandalism call fatally shot DeLeon after the 28-year-old left a vacant office building holding a weapon and refused to comply with police demands.,No,Allegedly Armed,attack,Not fleeing,No,Suburban
Benson,"Tribal police fatally shot Charboneau on a Native American reservation during a late-night incident, though few details were released by police.",No,Allegedly Armed,attack,Not fleeing,No,Undetermined
Monmouth,"Seidle was fatally shot by her ex-husband and Neptune police officer Philip Seidle, who rammed his ex-wife's car with his own vehicle and fired several fatal rounds at her in front of the couple's 7-year-old daughter. Philip Seidle is being held on $2 million bail.",No,Unarmed/Did Not Have an Actual Weapon,,,,Suburban
El Dorado,An officer responding to a domestic disturbance fatally fired at Jackson after seeing the 22-year-old man climb through a back window at a Lake Tahoe motel.,No,Unarmed/Did Not Have an Actual Weapon,other,Foot,No,Suburban
Mercer,Kevin called police for help to report a trespasser and subsequently was beaten and put into a coma by responding officers. He died months later.,No,Unarmed/Did Not Have an Actual Weapon,,,,Urban
Brevard,"Terryn, who planned on traveling to Ohio with his 16-year-old girlfriend to commit suicide, was fatally shot after the 15-year-old opened fire and struck a responding trooper in the shoulder.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
San Joaquin,"Garcia led police on a lengthy chase after officers observed him violently hitting his girlfriend, and attempted to hit responding police officers with his car before being fatally shot.",No,Vehicle,attack,Car,No,Suburban
Dallas,Boulware unleashed a barrage of gunfire on Dallas' police headquarters and planted explosives outside the building -- failing to wound anyone -- leading to a chase to a suburb that ended with SWAT officers killing him in his parked van at a Jack in the Box parking lot.,Yes,Allegedly Armed,attack,Not fleeing,No,Rural
Allen,"Police were called because a man with a gun was causing a disturbance. Police said he answered the door armed with a handgun. He wouldn't drop it and officers opened fire, killing him.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Aiken,"Matthew Jordan Blakley, an Aiken County deputy, was fired after what the sheriff's office says was an accidental shooting. Matthew Blakley was arrested on Sunday, charged with accidentally shooting and killing his wife, Candace Blakley.",No,Unclear,,,,Suburban
Jefferson,"Surveillance video shows Blanford getting out of a squad car and talking to Manyoun, who appeared unsteady on his feet. Manyoun then walks out of the picture and re-emerges with a flagpole that he then swings at Blanford. The video shows Blanford firing his weapon, leading to Manyoun's death.",Drug or alcohol use,Unclear,other,Not fleeing,No,Urban
Howard,"Officer Roy Smith responded to a call that the convenience store was being robbed by an armed woman. Smith arrived to find a woman pointing a gun at the store clerk, according to police. When Smith ordered Haendiges to drop the gun, she pointed it at him and he fired, hitting her twice.",Yes,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,No,Suburban
Bergen,"Officers reported they shot Peralta-lantigua after he attempted to attack them with a knife. His mother had called 911 after he hit her and she had locked herself in her bedroom. She said Peralta-lantigua was walking slowly towards officers with the knife, and that she told him in Spanish to drop the knife, but that he couldn't understand the officers' orders. Peralta-lantigua had drug problems and had sought mental help.",Yes,Allegedly Armed,other,Not fleeing,No,Urban
Bexar,"Flores, who suffered from depression and schizophrenia, was fatally shot by police after firing a round at his father and firing several shots at responding officers.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Broward,"Ziegler was suspect of a bank robbery,cops found his car & show up to his house, he pulled a revolver and officers react to the attack.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Maury,"It's reported that Phillips was threatening suicide, and when officers stopped him while driving, he pointed a gun at them, at which point they shot him to death.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Miami-Dade,"Severe was shot five times by an officer, who claimed that Severe was holding a metal pole. ",Unknown,Unclear,other,Not fleeing,No,Urban
New York,Hampton was fatally shot by police during a hostage standoff in the apartment of the 19-year-old's ex-girlfriend. Police fired the fatal shots after Hampton put a gun to the woman's head.,No,Allegedly Armed,attack,Not fleeing,No,Urban
Hamilton,"Officers reported that they responded to a 911 call from a woman claiming that Hicks had threatened to break into her house to kill her. Officers also claim that Hicks pointed a rifle at them when they entered a house he'd fled into, before one officer shot him to death. However, witnesses at the scene said that Hicks was complying with officers' orders.",Unknown,Allegedly Armed,attack,Not fleeing,No,Urban
Hancock,Linhart was fatally shot by police during an early morning traffic stop after he struggled to get back in his car after being detained by officers.,No,Allegedly Armed,attack,Not fleeing,No,Suburban
Harris,"After a chase that started with a report that the man was pointing a pistol-grip shotgun at drivers, Hartley drove into the neighborhood off Northpointe Boulevard and State Highway 249 with officers in pursuit. He reportedly was killed after ignoring officers' instructions to put down his weapon. He was reported wanted on a felony warrant out of Grime County.",No,Allegedly Armed,attack,Car,No,Suburban
Dallas,"Anthony was in the car when a cops ordered him to abandoned the car, ""exhibiting erratic behavior"" and was shot with the taser. He died at the hospital.",No,Unarmed/Did Not Have an Actual Weapon,,,,Suburban
Polk,"Bolinger was persecuted by veteran police, he stopped the car and the police shot him. He didn't have a gun or resist.",No,Unarmed/Did Not Have an Actual Weapon,other,Car,No,Suburban
Orange,"It's reported that Garcia had mental health issues and past drug issues as well. He allegedly pulled up behind an officer involved in a traffic stop, and moved towards the officer with a knife. Two officers fired multiple shots killing Garcia. It's not clear why Garcia carried out the actions that he did before his death.",Yes,Allegedly Armed,other,Not fleeing,Yes,Urban
Marion,"Johnson was fatally shot by responding officers after approaching them with a firearm and saying ""shoot me."" Neighbors told media outlets that the 54-year-old had a history of mental illness.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Maricopa,"Deputies got a 911 call from a woman who had left the house saying her husband was suicidal and texting relatives he was going to kill himself. The woman told deputies he had been drinking and had several weapons inside the home. Authorities say the 911 dispatcher asked the man to come out and he said, ""If anybody got any closer to him there would be a shootout."" After three hours, the man came out of the home and pointed his gun at deputies at which point shots were fired.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Bronx,"Ocasio died after being tased by officers responding to a call from the 51-year-old man's girlfriend, who told police that Ocasio was acting erratic and high on drugs.",Drug or alcohol use,Unclear,,,,Urban
Brevard,"Officers reported that they were pursuing McDaniel as he was suspected in several robberies. They claim that when he was unable to escape in his car, that he waived a gun, and the officers shot him to death.",Unknown,Allegedly Armed,attack,Not fleeing,No,Urban
Cowlitz,"Police said Marshall was fatally shot after approaching an officer while armed with a handgun. The officer had been dispatched to deal with a call reporting that Marshall was threatening to kill himself and his wife, according to authorities.",Yes,Allegedly Armed,attack,Not fleeing,No,Rural
Adams,Ramirez had a record as a sex offender and after being chased by the police on Interstate 70 he resisted the arrest and responded with gunfire.,No,Allegedly Armed,attack,Car,No,Rural
Alameda,"Hogg was unconscious in his car, investigations are open to determine why the police officers opened fire.",No,Allegedly Armed,attack,Not fleeing,Yes,Urban
Midland,Nevels was fatally shot by police behind a Midland liquor store after charging at officers with a box cutter. The officers were cleared of any wrongdoing following an internal investigation.,Yes,Allegedly Armed,other,Not fleeing,No,Suburban
Santa Cruz,"Fernandez was wanted for robbing homeless people. When police arrived, he made a run for it. Shots were exchanged. He hit an officer, and was shot and killed. The officer survived.",No,Allegedly Armed,attack,Foot,No,Suburban
Sarasota,Smillie was fatally shot by police after the 53-year-old reached into his shorts during a standoff with police. Smillie's wife had earlier reported a domestic disturbance and told police that her husband was extremely intoxicated at the time of the shooting.,Drug or alcohol use,Allegedly Armed,attack,Not fleeing,No,Suburban
Philadelphia,Ellerbee was shot and killed by police after allegedly firing blank rounds at an off-duty officer during a robbery attempt at a pizza parlor.,No,Allegedly Armed,,,,Urban
Santa Barbara,Gomez was fatally shot by police responding to a domestic disturbance call after the 50-year-old exchanged gunfire with officers. Police later announced that they found a deceased woman with multiple stab wounds inside Gomez's home.,No,Allegedly Armed,attack,Not fleeing,No,Suburban
Monongalia,"Cathers tried to run over a deputy, and they shot into the vehicle several times.",No,Vehicle,other,Car,No,Rural
Ellis,"Miguel Martinez stole a police SUV from an officer who arrested him and his brother, Daniel Dankert. Authorities pursued. A negotiator asked Martinez to stop the car over the police radio. He did. Both threatened suicide. A shot was fired inside the vehicle. Martinez exited the vehicle, pointing a gun at deputies. They fatally shot him. Dankert also died, killed either by his brother or himself.",Yes,Allegedly Armed,attack,Car,No,Rural
Harris,"Officers reported that Hernandez was a suspected car burglar, and that when confronted in his SUV, he wouldn't come out of the vehicle. After a 20-minute standoff, the officers sent in the dog, and they said Hernandez tried to hurt the dog with a knife, at which point the officers shot Hernandez to death. ",Unknown,Allegedly Armed,other,Car,No,Suburban
Kern,"Officers responding to reports of criminal threats and a drive-by shooting pursued and exchanged gunfire with Garza, who lead police on a short car chase before being fatally shot.",No,Allegedly Armed,attack,Car,No,Suburban
Sussex,"It's reported that Neal exited his home telling officers to shoot him, while he pointed a shot gun at them. The officers were responding to a call from a neighbor reported that they heard a gun shot.",Yes,Allegedly Armed,attack,Not fleeing,No,Rural
Valencia,"His mother called the police because her son was drinking too much, when the cops showed, he opened fired against them.",No,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,No,Rural
Suffolk,Shot after lunging at FBI agent and police officer with knife.,Unknown,Allegedly Armed,other,Not fleeing,No,Urban
Tarrant,"Azle police called for backup when two people fled a domestic disturbance bleeding and a third . According to the Tarrant County Sheriff's Office, deputy Christen Jarvis entered the residence and ordered Jarvis, stabbing a woman, to drop his knife. When he did not, Jarvis fatally shot Dajani. It was the deputy's first use of lethal force. ",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Monroe,"Officer Eric Hughes pulled over a vehicle driven by Ladd's girlfriend because Ladd, her passenger, fit the description of a suicidal man. The vehicle drove away during the stop, dragging Hughes about 70 feet. Hughes used a stun gun at some point and fatally shot Ladd after he reached in his waistband for a semiautomatic pistol. ",Yes,Allegedly Armed,attack,Other,No,Suburban
Jackson,"Morris armed himself with a semiautomatic pistol after a breakup with his significant other. She called police, saying that he was threatening himself and would shoot police if they responded. A responding officer found Morris walking away from his house in the vicinity of an elementary school. He tried to stop Morris. Morris pointed his gun at the officer, who fatally shot him. Morris died at a hospital.",Yes,Allegedly Armed,attack,Not fleeing,No,Urban
Anderson,"Officers arrested Bushey at an Applebee's bathroom in connection with a robbery. They did not use handcuffs. When Bushey broke away from them and reached for a BB gun, they shot and killed him.",No,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,Yes,Suburban
Monroe,"Davis drove into a truck and a church before leaving his vehicle. Police and firefighters confronted Davis, who returned to his vehicle and locked himself inside, ignoring orders. He then left his vehicle and rushed at responders. Officer Thomas Frye shot him with a stun gun. Davis, whose brother said he had a breathing problem, died at Strong Memorial Hospital.",Unknown,Unarmed/Did Not Have an Actual Weapon,,,,Urban
Yavapai,"Deputies pulled a car over that contained Proctor and five others. They asked for his identity. Violating probation, Proctor gave an alias instead, then fled his vehicle. Deputy Steven Gorman chased him on foot, shooting him in a backyard with a stun gun to no effect. Proctor turned and attacked the deputy, who then tried to subdue Proctor with pepper spray. Proctor, unaffected, grabbed for the deputy's gun. The deputy fatally shot him, then was taken to a hospital.  ",No,Unarmed/Did Not Have an Actual Weapon,attack,Foot,No,Suburban
Davidson,"Rivera, robbing a loan center, pointed what appeared to be a gun at Sgt. Scott Carter as Carter responded to the incident. Carter fired a shot and retreated. Rivera then exited the building, holding his weapon to a woman's head. Just as she broke free, wrenching Rivera's weapon away, Carter fatally shot Rivera. His weapon was an air pistol. ",No,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,No,Suburban
Creek,State Troopers tried to call two brothers out of flood waters. Police say Nehemiah Fischer attacked them.,No,Allegedly Armed,attack,Not fleeing,No,Rural
Bergen,"Allen, who had warrants for his arrest, was in the top floor of a library when Lyndhurst officers tried to arrest him. According to their Chief of Police, the officers used a baton and pepper spray on Allen, who attacked them with a knife. He was fatally shot.",No,Allegedly Armed,other,Not fleeing,No,Suburban
Josephine,"Kelsey Box, a paraplegic and tough truck racer, called troopers at 10:27 p.m. to report that her father, Robert, was abusing her. Troopers Gregor West and Heather Smyth responded. One or both shot Robert, carrying a pistol, on the driveway of the residence. He died at Asante Three Rivers Medical Center.",Unknown,Allegedly Armed,attack,Not fleeing,No,Rural
Lawrence,"Collins was arrested after behaving erratically. He resisted officers at Louisa Police Department, striking a sergeant multiple times and barricading himself in the department foyer. Officers shot him twice with a stun gun and struck with their hands and batons. When officers subdued Collins, he showed signs of medical distress and was taken to a hospital, where he died. ",Unknown,Unarmed/Did Not Have an Actual Weapon,,,,Rural
Wayne,"Officers responded to a call that Baker was behaving threateningly, possibly under the influence of alcohol or drugs. Officers shot Baker with a stun gun but he advanced and wounded an officer in the hand with a lawn mower blade. He was fatally shot in the abdomen.",Drug or alcohol use,Allegedly Armed,attack,Not fleeing,No,Suburban
Adams,Strong shot a member of a SWAT team twice as it served a warrant. SWAT officers fatally shot him in response. The officer survived.,No,Allegedly Armed,attack,Not fleeing,No,Suburban
Carroll,"An Amber Alert was issued after Williams transported his niece from Texas to Louisiana. An FBI Task Force confronted Williams at a motel in Louisiana, where he shot an officer in the leg and an officer fatally shot him. ",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Lancaster,"Morgan, a Baptist pastor, followed his wife of 40 years into a store and confronted her for abandoning him for his best friend, their neighbor. The owner of the store called 911 as he waved a pistol in the air and made threats. Major Matt Shaw and investigator Brad Whitesides responded. They shot Morgan. He died at Springs Memorial Hospital.",Unknown,Allegedly Armed,attack,Not fleeing,No,Rural
Monmouth,"Officers arrived at McAllister's house Tuesday at 11:30 a.m. after he drunkenly beat his partner and threatened to kill their 1-year-old son. A hostage negotiator spoke with him until 4:30 a.m. the next day, when a SWAT team broke into the residence and fatally shot McAllister. His son was unhurt.",Unknown,Allegedly Armed,attack,Not fleeing,No,Suburban
Putnam,"Davis, an Army veteran with PTSD, had a drunken argument with his son while parked in Oconee Springs Road. An associate of his called deputies shortly before midnight. They separated Davis and his son. Davis went to his vehicle for a knife, and threw it at a deputy. He returned to his vehicle for another knife and ran at deputies with it. Deputy Justin Brock fatally shot him.",Yes,Allegedly Armed,attack,Not fleeing,No,Rural
Los Angeles,"Morad, a college student, physically fought friends during his first trip on hallucinogenic mushrooms. He then fell or jumped through a window, injuring himself in the process. A neighbor's 911 call described Morad as covered in blood and ""violent."" Morad advanced on the officer who responded to the call. He shot Morad with a stun gun, struck him with a flashlight  and gave him repeated verbal warnings before fatally shooting him. ",Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,other,Not fleeing,No,Urban
Oklahoma,"A woman asked officers to do a welfare check on her husband, Sandeno, who threatened himself after she asked him for a divorce. Officers found him outside of his house with a pellet gun. Officers told him to drop it. They allege that he pointed the pellet gun at them, provoking the fatal shooting.",Yes,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,No,Suburban
Wyandotte,Both officers and paramedics responded when Torrence began to behave erratically in a parking lot. Officers and paramedics tried to load Torrence into an EMS vehicle. He was shot with a stun gun as he resisted. He died of cardiac arrest.,Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,,,,Urban
San Diego,"Deputy Aaron Miller responded to a call that Hubble was behaving erratically at a residence. At the residence, an associate of Hubble's told the deputy that Hubble was trying to provoke a shooting. The deputy found Hubble on a street outside of the residence. Hubble attacked the deputy with a screwdriver. The deputy shot him with a stun gun. Hubble continued his attack. The deputy fatally shot him.",Yes,Unclear,other,Not fleeing,No,Rural
New York,Three officers approached Branch in his car after the fatal shooting of his girlfriend. He began shooting at officers from his car with a .380 Beretta pistol and continued to shoot as he exited his vehicle. Officers fatally shot Branch from a distance of about eight feet.,No,Allegedly Armed,attack,Not fleeing,No,Urban
Snohomish,"A deputy responded to a call about Tallant, distraught and in the process of divorce, going to the door of the caller. According to the deputy's conversation with dispatchers, the deputy shot Tallant and Tallant fired once after he was hit. He died.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Bossier,"An Amber Alert was issued after Williams transported his niece, Caitlynn from Texas to Louisiana. An FBI Task Force confronted Williams at a motel in Louisiana, where he shot an officer in the leg and an officer fatally shot him. ",No,Unclear,attack,Not fleeing,No,Suburban
Travis,"Officers responded to a 1:30 a.m. 911 call by Bolin's boyfriend, who said that she was suicidal. SWAT officers who responded tried to reason with her, but she exited her residence so quickly that officers shot at her with a ""less-lethal projectile."" She returned to her residence, then went outside again, threatening herself and then officers with her pistol. A SWAT sniper fatally shot her.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Madison,"Briggs attacked his brother, Quinten, with a knife, then stabbed Matthew Shane Hooks. Hooks called 911. When officers responded, Briggs rushed at them with his knife, ignored commands to drop it and was fatally shot. ",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Wayne,"Jackson, ignoring a personal protection order, held his estranged wife and two children hostage, threatening them as well as himself. SWAT officers responded. After negotiation, Jackson jumped from the front door of the residence with a gun and shot an officer in the face. He was fatally shot in response. The officer survived.",Yes,Allegedly Armed,attack,Not fleeing,No,Urban
Apache,"Robinson, from his pickup truck, shot a pregnant woman at the parking lot of a Mormon stake center. She called 911. Robinson shot an Eagar police officer who responded. After, he fled to his residence, and was quickly surrounded by authorities from multiple agencies. He continued to shoot. When he emerged, he was fatally shot. ",Unknown,Allegedly Armed,attack,Car,No,Rural
Pettis,"Deputies followed a tip about Horn, suspected in a double murder, to J. N. Turkey Kearn Memorial Wildlife Area. They fatally shot him at a house when he threatened them with a pistol.",No,Allegedly Armed,attack,Not fleeing,No,Rural
Somerset,"Michael J. Lowrey was carrying a black BB gun that looked like a handgun. He was shot and killed Friday, May 22 in the morning at Save-A-Lot grocery store in Somerset, PA.",No,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,No,Rural
El Paso,"El Paso police shot and killed a 22-year-old man who was armed and possibly suicidal moments after he tried to enter a children's day care center in the Northeast, police officials said.",Yes,Allegedly Armed,undetermined,Not fleeing,No,Suburban
Bergen,"Three city police officers went to 10 Temple Avenue around 1:30 p.m. to check on Elvin Diaz at the request of county probation officials. Hackensack Police Director Michael Mordaga said Diaz was armed with ""a very large knife"" when the shooting occurred.",Yes,Allegedly Armed,other,Not fleeing,No,Urban
Broward,Authorities said they were forced to open fire on a man who had barricaded himself inside a home in Fort Lauderdale. There were reports Washington was on the drug Flakka.,Drug or alcohol use,Allegedly Armed,attack,Not fleeing,No,Suburban
Charleston,Police say they shot and killed a man who was wanted for the attempted murder of Berkeley County Sheriff's Lt. Will Rogers Thursday after the man emerged from a downtown apartment and opened fire at officers.,No,Allegedly Armed,attack,Not fleeing,No,Urban
Charleston,"Authorities said when they encountered Cooper on the second floor of the home, he ran at the deputy with a knife or other sharp object and swung at him, but the deputy deflected the attack.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Douglas,An Omaha police officer and a suspect were shot and killed after a confrontation at North 30th Street and Martin Avenue just before 1 p.m.,No,Allegedly Armed,attack,Not fleeing,No,Suburban
Lancaster,"Officers served a warrant on Gomez for beating a woman and threatening to kill her and her children. When Gomez refused to be taken in, an officer shot him with a stun gun. Gomez shot the officer with a pistol. A second officer fatally shot Gomez.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Daviess,"Officers tracked the suspect, 38-year-old Chrislon Talbott, to a motel on Frederica Street late Wednesday night. Kentucky State Police say Talbott came out of a room around midnight and shot at officers",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Campbell,"Near midnight Burtsfield was spotted trespassing in a rural area. Deputies chased her, then stopped her vehicle with deflating spikes. She emerged from her vehicle brandishing a knife. A Taser wasn't effective in stopping the threat deputies felt, so she was shot to death.",No,Allegedly Armed,other,Car,No,Suburban
Stark,"Deputies say Jonathan L. Colley, 52, approached deputies with a butcher-style knife. The deputies asked him to drop the knife, but he continued to approach them.",No,Allegedly Armed,other,Not fleeing,No,Suburban
Mesa,"After a fight with his father, Gaines drove away from his house in a pickup truck containing a gun. He sped through Grand Junction, hitting a motorcycle and a car. He left his truck, carrying a gun, and forced a mother and her children out of their SUV. Authorities from several departments converged on Gaines. A Grand Junction officer fatally shot him.",Unknown ,Allegedly Armed,attack,Other,No,Urban
Lonoke,While questioning a 35-year-old man at 905 East Main Street it was determined the individual was the subject of outstanding warrants. The man was placed into custody and held in a law enforcement vehicle. officers reported gunshots coming from inside the car and returned fire striking the individual who had moments earlier been taken into custody.,No,Allegedly Armed,attack,Not fleeing,No,Suburban
