Victim_age,Victim_gender,Victim_race,Date ,County,Agency_responsible_death,Cause_death
38,Male,White,2014-12-06 00:00:00,Clackamas,Milwaukie Police Department,Gunshot
22,Male,Hispanic,2014-11-06 00:00:00,Fresno,Fresno Police Department,Gunshot
37,Male,White,2014-11-06 00:00:00,Clark,Henderson Police Department,Gunshot
55,Male,Unknown race,2014-11-06 00:00:00,Mendocino,Mendocino County Sheriff's Office,Asphyxiated
25,Male,White,2014-10-06 00:00:00,Barry,Cassville Police Department,Gunshot
31,Male,Hispanic,2014-10-06 00:00:00,San Bernardino,Colton Police Department,Gunshot
73,Male,White,2014-10-06 00:00:00,Jackson,Jackson County Sheriff's Office,Gunshot
21,Male,Black,2014-10-06 00:00:00,Dekalb,Chamblee Police Department,Gunshot
43,Male,White,2014-09-06 00:00:00,Oklahoma,Oklahoma City Police Department,Gunshot
48,Male,Black,2014-09-06 00:00:00,Tuscaloosa,Tuscaloosa County Sheriff's Office,Gunshot
24,Male,White,2014-09-06 00:00:00,Eddy,Carlsbad Police Department,Gunshot
48,Male,White,2014-09-06 00:00:00,Sarpy,Bellevue Police Department,Gunshot
31,Male,White,2014-08-06 00:00:00,Clark,Las Vegas Metropolitan Police Department,Gunshot
16,Male,Hispanic,2014-08-06 00:00:00,Rio Arriba,Española Police Department,Gunshot
29,Male,Black,2014-08-06 00:00:00,Jackson,Moss Point Police Department,Gunshot
31,Male,Black,2014-07-06 00:00:00,Knox,Knoxville Police Department,Gunshot
34,Male,White,2014-07-06 00:00:00,Maricopa,Gilbert Police Department,Taser
38,Female,Unknown race,2014-07-06 00:00:00,Anne Arundel,Anne Arundel County Police Department,Gunshot
28,Male,White,2014-06-06 00:00:00,Kootenai,Coeur d'Alene Police Department,Gunshot
35,Male,Black,2014-06-06 00:00:00,Norfolk,Norfolk Police Department,Gunshot
48,Male,White,2014-06-06 00:00:00,Forsyth,"Cumming Police Department, Forsyth County Sheriff's Department",Gunshot
50,Male,White,2014-06-06 00:00:00,Arapahoe,Aurora Police Department,Gunshot
25,Male,White,2014-06-06 00:00:00,Butler,Pennsylvania State Police Department,Gunshot
26,Male,Black,2014-05-06 00:00:00,Broward,Broward County Sheriff's Office,Gunshot
53,Male,White,2014-05-06 00:00:00,Santa Clara,Sunnyvale Police Department,Gunshot
28,Male,Black,2014-04-06 00:00:00,Duval,Jacksonville Sheriff's Office,Gunshot
35,Male,White,2014-04-06 00:00:00,Weber,"Ogden Metro SWAT, Ogden Police",Gunshot
35,Male,White,2014-04-06 00:00:00,Pennington,Rapid City Police Department,Gunshot
72,Male,Black,2014-04-06 00:00:00,Norfolk,Norfolk Police Department,Gunshot
56,Male,White,2014-04-06 00:00:00,McPherson,McPherson Police Department,Gunshot
18,Female,Hispanic,2014-03-06 00:00:00,San Mateo,San Mateo Sheriff's Department,Gunshot
21,Male,White,2014-02-06 00:00:00,Catawba,Hickory Police Department,Gunshot
34,Male,Black,2014-02-06 00:00:00,Delaware,Chester Police Department,Gunshot
52,Female,White,2014-02-06 00:00:00,Aiken,Aiken County Sheriff's Office,Gunshot
22,Male,White,2014-02-06 00:00:00,Greenville,Greenville County Sheriff's Office,Gunshot
52,Male,Unknown race,2014-01-06 00:00:00,Montgomery,"Montgomery County KS Sheriff's Department, Kansas Highway Patrol",Gunshot
44,Male,Black,31/05/2014,Passaic,Patterson Police Department,Gunshot
64,Male,White,31/05/2014,Lancaster,Lancaster County Sheriff's Office,Gunshot
33,Male,Black,31/05/2014,Hoke,Hoke County Sheriff's Office,Gunshot
22,Male,Black,31/05/2014,Cowley,Cowley County Sheriff's Department,Gunshot
26,Male,Hispanic,30/05/2014,Yolo,Woodland Police Department,Gunshot
29,Male,White,30/05/2014,Norfolk,Norfolk Police Department,Gunshot
31,Male,White,30/05/2014,Clark,Las Vegas Metropolitan Police Department,Gunshot
36,Male,Black,30/05/2014,Marion,Indianapolis Metropolitan Police Department,Gunshot
49,Male,White,30/05/2014,Merced,Merced County Sheriff's Office,Gunshot
61,Male,Unknown race,30/05/2014,Perry,Kentucky State Police Department,Gunshot
20,Male,Black,30/05/2014,Prince George's,Prince George's County Police Department,Gunshot
31,Male,Hispanic,30/05/2014,Pima,U.S. Border Patrol,Gunshot
17,Male,Black,29/05/2014,Orleans,Southern University of New Orleans Police Department,Gunshot
22,Male,White,29/05/2014,Orange,Newport Beach Police Department,Gunshot
18,Male,Black,29/05/2014,Leon,Tallahassee Police Department,Gunshot
45,Male,White,29/05/2014,Sullivan,Washington County Sheriff's Office,Gunshot
54,Male,White,28/05/2014,Johnson,"Johnson County Sheriff's Office, Missouri Highway Patrol",Gunshot
20,Male,Black,28/05/2014,DeSoto,Southaven Police Department,Gunshot
29,Male,White,27/05/2014,Hillsborough,Tampa Police Department,Gunshot
42,Male,White,27/05/2014,Brown,Hamersville Police Department,Gunshot
23,Male,Hispanic,26/05/2014,Los Angeles,Los Angeles County Sheriff's Department,Gunshot
45,Male,Black,26/05/2014,Montgomery,Dayton Police Department,Gunshot
26,Male,White,25/05/2014,Jackson,Kansas City Police Department,Gunshot
26,Male,Black,25/05/2014,Forsyth,Winston-Salem Police Department,Gunshot
17,Male,Hispanic,24/05/2014,Loudoun,Purcellville Police Department,Gunshot
27,Male,Black,24/05/2014,Dutchess,Poughkeepsie Police Department,Gunshot
49,Male,White,24/05/2014,Kern,Kern County Sheriff's Office,Gunshot
59,Male,White,24/05/2014,Butler,Butler County Sheriff's Office,Gunshot
62,Male,Black,24/05/2014,Cook,Chicago Police Department,Gunshot
54,Male,Hispanic,24/05/2014,Los Angeles,Los Angeles Police Department,Other
42,Male,Unknown race,23/05/2014,Sacramento,Citrus Heights Police Department,Gunshot
37,Male,Hispanic,22/05/2014,Bernalillo,Albuquerque Police Department,Gunshot
34,Male,White,22/05/2014,Jeff Davis,Jeff Davis County Sheriff's Office,Gunshot
20,Male,Black,21/05/2014,Orange,Orlando Police Department,Gunshot
28,Male,White,21/05/2014,Pima,Tucson Police Department,Gunshot
31,Male,Hispanic,21/05/2014,Weld,Greeley Police Department,Gunshot
26,Male,Hispanic,20/05/2014,Fresno,Fresno Police Department,Gunshot
27,Female,Unknown race,20/05/2014,Montgomery,Montgomery County Sheriff's Office,Gunshot
44,Male,Hispanic,20/05/2014,Monterey,Salinas Police Department,Gunshot
25,Male,White,19/05/2014,Scott,George County Sheriff's Department,Gunshot
37,Male,Hispanic,19/05/2014,Harford,Harford County Sheriff's Office,Gunshot
39,Male,Black,19/05/2014,New York,New York Police Department,Gunshot
41,Male,Unknown race,19/05/2014,Edgecombe,Edgecombe County Sheriff's Office,Gunshot
56,Male,Unknown race,19/05/2014,Hernando,Hernando County Sheriff's Office,Gunshot
21,Male,Black,18/05/2014,Pulaski,Little Rock Police Department,Gunshot
26,Female,White,18/05/2014,Dane,Madison Police Department,Gunshot
44,Female,Unknown race,18/05/2014,Bexar,San Antonio Police Department,Gunshot
47,Male,White,18/05/2014,Giles,Pearisburg Police Department,Gunshot
24,Male,White,18/05/2014,Butte,Butte County Sheriff's Office,Gunshot
34,Male,Hispanic,17/05/2014,Los Angeles,Los Angeles Police Department,Gunshot
30,Male,White,17/05/2014,Portage,Portage County Sheriff's Department,Gunshot
24,Male,Black,16/05/2014,Wyandotte,"Kansas City, KS Police Department",Gunshot
36,Male,White,16/05/2014,Pinellas,Pinellas County Sheriff's Office,Gunshot
38,Male,White,16/05/2014,Taylor,Kentucky State Police Department,Gunshot
45,Male,Black,16/05/2014,New York,New York Police Department,Gunshot
47,Male,Unknown race,16/05/2014,Jefferson,Jefferson Parish Sheriff's Office,Gunshot
29,Male,White,15/05/2014,Essex,Salisbury Police Department,Gunshot
43,Male,White,15/05/2014,Pasco,Pasco County Sheriff's Office,Gunshot
57,Female,White,15/05/2014,Contra Costa,Concord Police Department,Gunshot
22,Male,Hispanic,14/05/2014,Wichita,Wichita Falls Police Department,Gunshot
41,Male,White,13/05/2014,Citrus,Citrus County Sheriff's Office,Gunshot
50,Female,White,13/05/2014,Greene,"Springfield Police Department, Greene County Sheriff's Office",Gunshot
21,Male,Black,2014-12-05 00:00:00,Los Angeles,Los Angeles Police Department,Gunshot
39,Male,Black,2014-12-05 00:00:00,Leon,Tallahassee Police Department,Gunshot
39,Male,White,2014-12-05 00:00:00,Houston,Houston County Sheriff's Office,Gunshot
25,Male,Hispanic,2014-11-05 00:00:00,Pinal,Pinal County Sheriff's Office,Gunshot
37,Male,Black,2014-11-05 00:00:00,Cook,Chicago Police Department,Gunshot
32,Male,Black,2014-11-05 00:00:00,Imperial,California Highway Patrol,Beaten
44,Male,White,2014-11-05 00:00:00,Pierce,Pierce County Police Department,Beaten
32,Male,Black,2014-10-05 00:00:00,Jefferson,Birmingham Police Department,Gunshot
34,Male,Black,2014-10-05 00:00:00,Franklin,Columbus Division of Police,Gunshot
36,Male,Unknown race,2014-10-05 00:00:00,Summers,West Virginia State Police Department,Gunshot
50,Male,White,2014-10-05 00:00:00,Perry,Kentucky State Police Department,Gunshot
59,Male,Hispanic,2014-10-05 00:00:00,San Bernardino,Ontario Police Department,Gunshot
25,Female,White,2014-09-05 00:00:00,Marion,Salem Police Department,Gunshot
26,Male,Hispanic,2014-09-05 00:00:00,Monterey,Salinas Police Department,Gunshot
21,Male,Black,2014-09-05 00:00:00,Jefferson,Jefferson County Sheriff's Office,Gunshot
24,Male,Hispanic,2014-08-05 00:00:00,Payette,Payette County Sheriff's Department,Gunshot
31,Male,White,2014-08-05 00:00:00,Ionia,Ionia County Sheriff's Office,Gunshot
41,Male,Hispanic,2014-08-05 00:00:00,Eagle,Colorado State Patrol,Gunshot
48,Male,Hispanic,2014-08-05 00:00:00,San Miguel,New Mexico State Police,Gunshot
34,Male,Black,2014-08-05 00:00:00,Broward,Hallandale Beach Police Department,Gunshot
69,Male,White,2014-08-05 00:00:00,Hernando,Hernando County Sheriff's Office,Gunshot
30,Male,Hispanic,2014-07-05 00:00:00,Lubbock,Lubbock Police Department,Gunshot
19,Male,Black,2014-07-05 00:00:00,Baltimore City,Baltimore Police Department,Taser
23,Male,Black,2014-07-05 00:00:00,Cook,Chicago Police Department,Taser
43,Male,White,2014-06-05 00:00:00,Yuba,Yuba County Sheriff's Department,Gunshot
93,Female,Black,2014-06-05 00:00:00,Robertson,Hearne Police Department,Gunshot
28,Male,White,2014-06-05 00:00:00,Volusia,"Daytona Beach Police Department, South Daytona Police Department",Gunshot
Unknown,Male,Black,2014-05-05 00:00:00,Harris,Houston Police Department,Gunshot
25,Male,Black,2014-05-05 00:00:00,Hinds,Hinds County Sheriff's Department,Beaten
18,Male,Hispanic,2014-04-05 00:00:00,Alameda,Dublin Police Department,Gunshot
31,Male,White,2014-04-05 00:00:00,Ionia,"Ionia County, Michigan State Police",Gunshot
38,Male,Black,2014-04-05 00:00:00,Shelby,"Texas Department of Public Safety, Center Police Department",Gunshot
50,Male,Black,2014-03-05 00:00:00,Bernalillo,Albuquerque Police Department,Gunshot
29,Male,White,2014-02-05 00:00:00,Duval,Jacksonville Sheriff's Office,Gunshot
33,Male,Black,2014-02-05 00:00:00,Dane,Madison Police Department,Gunshot
39,Male,Black,2014-02-05 00:00:00,Berrien,Niles Police Department,Gunshot
50,Male,Unknown race,2014-01-05 00:00:00,Dane,Dane County Sheriff's Department,Gunshot
31,Male,Black,30/04/2014,Milwaukee,Milwaukee Police Department,Gunshot
47,Male,White,30/04/2014,Marion,Salem Police Department,Gunshot
22,Male,Black,29/04/2014,Cumberland,Columbus County Sheriff's Office,Gunshot
26,Male,Hispanic,29/04/2014,Los Angeles,Los Angeles County Sheriff's Department,Gunshot
37,Male,White,29/04/2014,Spokane,Spokane Police Department,Gunshot
46,Male,Unknown race,29/04/2014,Clark,Las Vegas Metropolitan Police Department,Gunshot
Unknown,Male,Unknown race,29/04/2014,Wayne,Detroit Police Department,Gunshot
27,Female,White,29/04/2014,Rankin,Hinds County Sheriff'sOffice,Gunshot
53,Male,White,28/04/2014,Butte,Oroville Police Department,Gunshot
55,Male,White,28/04/2014,Umatilla,Athena City Police Department,Gunshot
36,Male,White,27/04/2014,Los Angeles,Long Beach Police Department,Gunshot
27,Female,Unknown race,26/04/2014,Merced,Merced Police Department,Gunshot
19,Female,White,26/04/2014,Boone,Boone County Sheriff's Department,Gunshot
20,Male,Black,25/04/2014,Lauderdale,Lauderdale County Sheriff's Office,Gunshot
42,Male,Hispanic,25/04/2014,Los Angeles,Los Angeles County Sheriff's Department,Gunshot
86,Male,Black,25/04/2014,Cook,Chicago Police Department,Gunshot
43,Male,Black,25/04/2014,Adams,Adams County Sheriff's Office,Taser
55,Female,White,24/04/2014,Lancaster,Lancaster County Sheriff's Office,Gunshot
26,Male,Hispanic,23/04/2014,Maricopa,Maricopa County Sheriff's Office,Gunshot
53,Male,Unknown race,23/04/2014,Lawrence,Walnut Ridge Police Department,Gunshot
55,Male,Unknown race,23/04/2014,Surry,Surry County Sheriff's Office,Gunshot
26,Male,White,22/04/2014,Nacogdoches,Nacogdoches County Sheriff's Office,Gunshot
Unknown,Male,White,22/04/2014,Logan,Lincoln IL Police Department,Gunshot
53,Male,White,22/04/2014,Calhoun,Anniston Police Department,Gunshot
19,Female,White,21/04/2014,Bernalillo,Albuquerque Police Department,Gunshot
29,Male,Black,21/04/2014,Allegheny,Pittsburgh Bureau of Police,Gunshot
30,Male,White,21/04/2014,Dallas,Dallas Police Department,Gunshot
56,Male,White,21/04/2014,Warren,Warren County Sheriff's Office,Gunshot
58,Male,White,21/04/2014,Riverside,Riverside County Sheriff's Department,Gunshot
25,Male,Pacific Islander,21/04/2014,Salt Lake,U.S. Marshals Service,Gunshot
20,Male,White,20/04/2014,Lubbock,Texas Department of Public Safety,Gunshot
30,Male,White,20/04/2014,Bexar,San Antonio Police Department,Gunshot
50,Female,Hispanic,20/04/2014,Cook,Chicago Police Department,Gunshot
50,Male,Hispanic,19/04/2014,Fresno,Fresno County Sheriff's Office,Gunshot
18,Female,Hispanic,19/04/2014,Tulsa,Tulsa County Sheriff's Office,Gunshot
19,Male,Hispanic,18/04/2014,Imperial,Imperial County Sheriff's Office,Gunshot
25,Male,White,17/04/2014,Hardin,Iowa Falls Police Department,Gunshot
35,Male,Hispanic,17/04/2014,Pima,Tucson Police Department,Gunshot
57,Male,White,17/04/2014,Tarrant,Gapevine Police Department,Gunshot
42,Female,White,17/04/2014,Marion,Indianapolis Metropolitan Police Department,Gunshot
23,Male,Black,16/04/2014,St. Louis,St. Louis County Police Department,Gunshot
49,Male,White,16/04/2014,Lee,Nettleton Police Department,Gunshot
40,Male,White,16/04/2014,Harris,Houston Police Department,Beaten
52,Male,White,16/04/2014,St. Charles,St. Charles Police Department,Gunshot
48,Male,Black,15/04/2014,Tangipahoa,Tangipahoa Sheriff's Department,Gunshot
24,Male,White,14/04/2014,Manatee,Manatee County Sheriff's Office,Gunshot
45,Male,Unknown race,14/04/2014,Stone,Stone County Sheriff's Office,Gunshot
38,Male,Hispanic,14/04/2014,Yellowstone,Billings Police Department,Gunshot
38,Male,White,13/04/2014,Davis,Centerville Police Department,Gunshot
45,Male,Asian,13/04/2014,Los Angeles,Los Angeles Police Department,Gunshot
53,Female,Unknown race,13/04/2014,Santa Clara,Santa Clara Police Department,Gunshot
67,Male,White,13/04/2014,Pender,North Carolina Highway Patrol,Gunshot
22,Male,Hispanic,13/04/2014,Hartford,East Hartford Police Department,Taser
38,Male,White,13/04/2014,Maricopa,Phoenix Police Department,Taser
20,Male,Black,13/04/2014,Cook,Harvey Police Department,Gunshot
40,Male,Hispanic,13/04/2014,Cochise,Sierra Vista Police Department,Gunshot
41,Male,White,2014-12-04 00:00:00,Gallatin,Gallatin County Sheriff's Department,Gunshot
66,Male,White,2014-12-04 00:00:00,Cumberland,Cumberland County Sheriff's Office,Gunshot
86,Male,White,2014-12-04 00:00:00,Queens,New York Police Department,Gunshot
24,Male,Hispanic,2014-12-04 00:00:00,Yakima,Yakima Police Department,Gunshot
32,Male,White,2014-11-04 00:00:00,Maricopa,Phoenix Police Department,Gunshot
53,Male,White,2014-11-04 00:00:00,Escambia,Escambia County Sheriff's Office,Gunshot
24,Male,Black,2014-11-04 00:00:00,Fulton,East Point Police Department,Taser
45,Male,White,2014-11-04 00:00:00,Cherokee,Woodstock Police Department,Gunshot
34,Male,Black,2014-11-04 00:00:00,Baltimore,Federal Bureau of Investigation,Gunshot
23,Male,White,2014-10-04 00:00:00,Fresno,Fresno County Sheriff's Office,Gunshot
30,Male,White,2014-10-04 00:00:00,Sedgwick,Wichita Police Department,Gunshot
30,Male,White,2014-10-04 00:00:00,Los Angeles,Los Angeles County Sheriff's Department,Gunshot
29,Male,Hispanic,2014-09-04 00:00:00,Solano,Vallejo Police Department,Gunshot
28,Male,White,2014-08-04 00:00:00,York,York County Sheriff's Department,Gunshot
40,Male,White,2014-08-04 00:00:00,Clark,Las Vegas Metropolitan Police Department,Gunshot
66,Male,White,2014-08-04 00:00:00,St. Johns,St. Johns County Sheriff's Office,Gunshot
21,Male,Hispanic,2014-07-04 00:00:00,Cook,Chicago Police Department,Gunshot
24,Male,Unknown race,2014-07-04 00:00:00,San Diego,Oceanside Police Department,Gunshot
29,Male,Black,2014-07-04 00:00:00,Los Angeles,Los Angeles Police Department,Gunshot
31,Male,Black,2014-07-04 00:00:00,Palm Beach,Palm Beach County Sheriff's Office,Gunshot
36,Male,White,2014-07-04 00:00:00,Lake,Wauconda Police Department,Gunshot
33,Male,Unknown race,2014-06-04 00:00:00,District of Columbia,DC Metropolitan Police Department,Gunshot
34,Male,White,2014-06-04 00:00:00,Montgomery,Montgomery County Sheriff's Office,Gunshot
24,Male,Black,2014-05-04 00:00:00,Prince George's,Prince George's County Police Department,Gunshot
38,Male,Black,2014-05-04 00:00:00,Suffolk,Boston Police Department,Gunshot
24,Male,Hispanic,2014-04-04 00:00:00,Los Angeles,Los Angeles Police Department,Gunshot
26,Male,White,2014-04-04 00:00:00,Dallas,Dallas Police Department,Gunshot
52,Male,White,2014-04-04 00:00:00,Madison,Huntsville Police Department,Gunshot
35,Male,Hispanic,2014-04-04 00:00:00,Windham,Brattleboro Police Department,Gunshot
26,Male,White,2014-03-04 00:00:00,King,Seattle Police Department,Gunshot
41,Male,White,2014-03-04 00:00:00,Marion,Monteagle Police Department,Gunshot
22,Male,Black,2014-02-04 00:00:00,Gwinnett,Gwinnett County Police Department,Gunshot
28,Male,White,2014-02-04 00:00:00,Palm Beach,Palm Beach County Sheriff's Office,Gunshot
43,Male,White,31/03/2014,Broome,Johnson City Police Department,Gunshot
74,Female,Unknown race,31/03/2014,Newton,Newton County Sheriff's Office,Gunshot
28,Female,White,31/03/2014,Polk,Cleveland County Sheriff's Office,Vehicle
20,Male,Black,30/03/2014,Muscogee,Columbus State University Campus Police,Gunshot
20,Male,Black,29/03/2014,Cook,Chicago Police Department,Gunshot
25,Male,Black,28/03/2014,Jefferson,Louisville Metro Police Department,Gunshot
25,Male,White,28/03/2014,San Bernardino,San Bernardino County Sheriff's Department,Gunshot
35,Male,Black,28/03/2014,Craven,New Bern Police Department,Gunshot
35,Male,Pacific Islander,28/03/2014,Salt Lake,Salt Lake City Police Department,Gunshot
40,Male,Unknown race,28/03/2014,Lincoln,Lincoln County Sheriff's Office,Gunshot
27,Male,Black,27/03/2014,Atlantic,Atlantic City Police Department,Gunshot
43,Male,White,27/03/2014,Beckham,Beckham County Sheriff's Office,Gunshot
58,Male,Unknown race,27/03/2014,Somervell,Somervell County Sheriff's Office,Gunshot
19,Male,Hispanic,27/03/2014,Jefferson,Port Arthur Pollice Department,Gunshot
30,Male,White,26/03/2014,Spokane,Spokane Police Department,Gunshot
41,Male,White,26/03/2014,Kern,Kern County Sheriff's Office,Gunshot
20,Male,Black,25/03/2014,Rowan,Rowan County Sheriff's Office,Gunshot
30,Male,Black,25/03/2014,Bernalillo,Albuquerque Police Department,Gunshot
41,Male,White,25/03/2014,Stevens,Stevens County Sheriff's Department,Gunshot
42,Male,White,25/03/2014,Tom Green,San Angelo Police Department,Gunshot
47,Female,Asian,25/03/2014,Guilford,Greensboro Police Department,Gunshot
65,Male,White,25/03/2014,Cuyahoga,Cuyahoga County Sheriff's Office,Gunshot
27,Male,Black,25/03/2014,Tulsa,Tulsa Police Department,Gunshot
27,Male,White,24/03/2014,Los Angeles,Los Angeles Police Department,Gunshot
73,Male,White,23/03/2014,Oklahoma,Oklahoma City Police Department,Gunshot
25,Male,Black,23/03/2014,Maricopa,Phoenix Police Department,Gunshot
18,Male,Black,22/03/2014,Providence,"Providence Police Department, Rhode Island State Police",Gunshot
25,Male,White,22/03/2014,Pierce,Pierce County Sheriff's Department,Gunshot
21,Male,Black,21/03/2014,Duval,Jacksonville Sheriff's Office,Gunshot
28,Male,Hispanic,21/03/2014,San Francisco,San Francisco Police Department,Gunshot
51,Male,Black,21/03/2014,Davidson,Metropolitan Nashville Police Department,Gunshot
74,Male,White,21/03/2014,Los Angeles,Los Angeles County Sheriff's Department,Gunshot
44,Male,White,21/03/2014,Williamson,Round Rock Police Department,Beaten
29,Male,Black,21/03/2014,Harford,Maryland State Police,Gunshot
21,Male,White,20/03/2014,Orange,Anaheim Police Department,Gunshot
42,Male,Hispanic,20/03/2014,Monterey,Salinas Police Department,Gunshot
30,Male,White,20/03/2014,Douglas,Omaha Police Department,Gunshot
40,Male,Hispanic,20/03/2014,Monterey,Monterey County Sheriff's Office,Gunshot
34,Male,Asian,19/03/2014,San Mateo,San Mateo Police Department,Gunshot
50,Male,White,19/03/2014,Adams,Aurora Police Department,Gunshot
19,Male,Black,18/03/2014,District of Columbia,Capital Area Regional Fugitive Task Force,Gunshot
21,Male,White,18/03/2014,Baltimore,Baltimore County Police Department,Gunshot
26,Male,White,18/03/2014,Maricopa,Phoenix Police Department,Gunshot
32,Male,Black,18/03/2014,Wicomico,Maryland State Police,Gunshot
29,Male,White,17/03/2014,Dutchess,City of Poughkeepsie Police Department,Gunshot
52,Male,Unknown race,17/03/2014,Forsyth,Forsyth County Sheriff's Office,Gunshot
26,Male,Black,17/03/2014,Harris,Houston Police Department,Gunshot
38,Male,White,16/03/2014,Bernalillo,Albuquerque Police Department,Gunshot
47,Male,Black,16/03/2014,Comanche,Lawton Police Department,Gunshot
50,Male,Unknown race,16/03/2014,Clark,Las Vegas Metropolitan Police Department,Gunshot
51,Male,Asian,16/03/2014,Broward,Broward County Sheriff's Office,Gunshot
28,Male,White,16/03/2014,Richland,Richland County Sheriff's Office,Gunshot
36,Male,White,14/03/2014,Clark,Clark County Regional SWAT,Gunshot
60,Male,White,14/03/2014,Columbia,Lake City Police Department,Gunshot
60,Male,Unknown race,13/03/2014,Sutter,Yuba City Police Department,Gunshot
26,Male,Hispanic,13/03/2014,Maricopa,Phoenix Police Department,Gunshot
25,Male,White,2014-12-03 00:00:00,San Bernardino,San Bernardino County Sheriff's Department,Gunshot
38,Male,White,2014-12-03 00:00:00,Burke,Avery County Sheriff's Department,Gunshot
49,Male,White,2014-12-03 00:00:00,Multnomah,Portland Police Bureau,Gunshot
53,Male,White,2014-11-03 00:00:00,Jefferson,Jefferson County Sheriff's Department,Gunshot
Unknown,Male,White,2014-11-03 00:00:00,Washington,Washington County Sheriff's Office,Gunshot
23,Male,White,2014-10-03 00:00:00,Decatur,Kansas Highway Patrol,Gunshot
25,Male,Hispanic,2014-10-03 00:00:00,Maricopa,Arizona Department of Public Safety,Gunshot
30,Male,Unknown race,2014-10-03 00:00:00,Wayne,U.S. Border Patrol,Gunshot
38,Male,Black,2014-10-03 00:00:00,Clark,North Las Vegas Police Department,Gunshot
47,Male,White,2014-10-03 00:00:00,Buchanan,St. Joseph Police Department,Gunshot
35,Male,White,2014-10-03 00:00:00,Strafford,"New Hampshire Department of Corrections Probation/Parole Officers, Strafford County Sheriff's Department",Gunshot
15,Male,Hispanic,2014-09-03 00:00:00,Gregg,Longview Police Department,Gunshot
31,Male,Black,2014-09-03 00:00:00,Highlands,Highlands County Sheriff's Department,Gunshot
40,Male,Asian,2014-09-03 00:00:00,Lake,Sleepy Hollow Police Department,Gunshot
60,Male,Unknown race,2014-09-03 00:00:00,Chattooga,Chattooga County Sheriff's Department,Gunshot
22,Male,Black,2014-09-03 00:00:00,Iberia,Iberia Parish Sheriff's Office,Gunshot
52,Male,White,2014-09-03 00:00:00,Matanuska-Susitna,Alaska State Troopers,Gunshot
50,Male,Unknown race,2014-08-03 00:00:00,Sacramento,Sacramento Police Department,Gunshot
21,Male,Black,2014-08-03 00:00:00,Tallapoosa,Alexander City Police Department,Gunshot
48,Female,White,2014-07-03 00:00:00,Fresno,Fresno Police Department,Gunshot
34,Female,White,2014-07-03 00:00:00,Montgomery,Pennsylvania State Police Department,Gunshot
28,Male,White,2014-06-03 00:00:00,Okmulgee,Okmulgee Police Department,Gunshot
47,Male,White,2014-06-03 00:00:00,Ravalli,Ravalli County Sheriff's Department,Gunshot
55,Male,White,2014-06-03 00:00:00,Knox,Knoxville Police Department,Gunshot
Unknown,Male,Black,2014-06-03 00:00:00,Harris,Houston Police Department,Gunshot
23,Male,Black,2014-06-03 00:00:00,Los Angeles,Los Angeles Police Department,Gunshot
23,Male,Hispanic,2014-05-03 00:00:00,Pueblo,Pueblo Police Department,Gunshot
23,Male,Hispanic,2014-05-03 00:00:00,Hendry,Hendry County Sheriff's Office,Gunshot
27,Male,White,2014-05-03 00:00:00,Marion,Indianapolis Metropolitan Police Department,Gunshot
50,Male,White,2014-05-03 00:00:00,Crawford,Bourbon Police Department,Gunshot
52,Male,Black,2014-05-03 00:00:00,Pulaski,North Little Rock Police Department,Gunshot
20,Male,Hispanic,2014-04-03 00:00:00,Miami-Dade,Miami-Dade Police Department,Gunshot
41,Male,Black,2014-04-03 00:00:00,Hillsborough,Hillsborough County Sheriff's Office,Gunshot
44,Male,White,2014-04-03 00:00:00,Oakland,Oakland County Sheriff's Office,Gunshot
24,Female,White,2014-04-03 00:00:00,Spartanburg,Duncan Police Department,Gunshot
19,Male,Native American,2014-03-03 00:00:00,Glacier,Blackfeet Police Department,Gunshot
28,Male,White,2014-03-03 00:00:00,Maricopa,Phoenix Police Department,Gunshot
28,Male,White,2014-03-03 00:00:00,Alachua,Gainesville Police Department,Gunshot
41,Male,White,2014-02-03 00:00:00,Sacramento,Sacramento County Sheriff's Department,Gunshot
30,Male,White,2014-02-03 00:00:00,Lafayette,"Lafayette Parish Sheriff's Office, Carencro Police Department, Scott Police Department",Asphyxiated
22,Female,Hispanic,2014-02-03 00:00:00,Sacramento,Citrus Heights Police Department,Gunshot
21,Male,White,2014-01-03 00:00:00,St. Charles,Saint Charles County Sheriff's Office,Gunshot
51,Male,White,28/02/2014,Brevard,Brevard County Sheriff's Office,Gunshot
37,Male,Hispanic,28/02/2014,Miami-Dade,Miami-Dade Police Department,Taser
23,Male,Black,28/02/2014,Bexar,San Antonio Police Department,Gunshot
27,Male,Black,27/02/2014,Miami-Dade,Hialeah Police Department,Gunshot
32,Male,Asian,26/02/2014,Fairfield,Connecticut State Police,Gunshot
33,Male,White,26/02/2014,Vermilion,Danville Police Department,Gunshot
62,Male,White,26/02/2014,San Diego,San Diego Police Department,Gunshot
Unknown,Male,Unknown race,26/02/2014,Shelby,Kentucky State Police Department,Gunshot
42,Female,White,26/02/2014,Dallas,Crandall Police Department,Gunshot
48,Male,Unknown race,25/02/2014,Wayne,Downriver SWAT Team,Gunshot
70,Male,White,25/02/2014,York,York County Sheriff's Office,Gunshot
57,Male,White,25/02/2014,Maricopa,Gilbert Police Department,Gunshot
37,Male,Black,24/02/2014,Hamilton,Cincinnati Police Department,Gunshot
18,Male,Asian,23/02/2014,Fresno,Fresno Police Department,Gunshot
44,Male,Hispanic,22/02/2014,Pima,Tucson Police Department,Gunshot
